ticker,sector
NVDA,Technology
MSFT,Technology
AAPL,Technology
AMZN,Consumer Cyclical
GOOG,Communication Services
GOOGL,Communication Services
META,Communication Services
AVGO,Technology
BRK-B,Financial Services
TSLA,Consumer Cyclical
JPM,Financial Services
WMT,Consumer Defensive
LLY,Healthcare
V,Financial Services
ORCL,Technology
NFLX,Communication Services
MA,Financial Services
XOM,Energy
COST,Consumer Defensive
PG,Consumer Defensive
JNJ,Healthcare
HD,Consumer Cyclical
BAC,Financial Services
ABBV,Healthcare
PLTR,Technology
KO,Consumer Defensive
PM,Consumer Defensive
UNH,Healthcare
GE,Industrials
CSCO,Technology
TMUS,Communication Services
IBM,Technology
CRM,Technology
WFC,Financial Services
CVX,Energy
ABT,Healthcare
AMD,Technology
MS,Financial Services
AXP,Financial Services
DIS,Communication Services
INTU,Technology
LIN,Basic Materials
NOW,Technology
MCD,Consumer Cyclical
GS,Financial Services
T,Communication Services
MRK,Healthcare
ISRG,Healthcare
RTX,Industrials
UBER,Technology
TXN,Technology
BX,Financial Services
BKNG,Consumer Cyclical
ACN,Technology
CAT,Industrials
PEP,Consumer Defensive
VZ,Communication Services
QCOM,Technology
ADBE,Technology
SCHW,Financial Services
BLK,Financial Services
BA,Industrials
SPGI,Financial Services
BSX,Healthcare
C,Financial Services
TMO,Healthcare
PGR,Financial Services
SYK,Healthcare
AMGN,Healthcare
HON,Industrials
AMAT,Technology
NEE,Utilities
GEV,Industrials
DHR,Healthcare
MU,Technology
ETN,Industrials
DE,Industrials
UNP,Industrials
GILD,Healthcare
PFE,Healthcare
TJX,Consumer Cyclical
PANW,Technology
CMCSA,Communication Services
LOW,Consumer Cyclical
ANET,Technology
CRWD,Technology
LRCX,Technology
ADP,Technology
KKR,Financial Services
APH,Technology
KLAC,Technology
ADI,Technology
VRTX,Healthcare
CB,Financial Services
COP,Energy
MDT,Healthcare
MMC,Financial Services
LMT,Industrials
NKE,Consumer Cyclical
SBUX,Consumer Cyclical
ICE,Financial Services
AMT,Real Estate
DASH,Consumer Cyclical
CEG,Utilities
PLD,Real Estate
SO,Utilities
WELL,Real Estate
MO,Consumer Defensive
CME,Financial Services
INTC,Technology
TT,Industrials
FI,Technology
BMY,Healthcare
HCA,Healthcare
WM,Industrials
MCK,Healthcare
DUK,Utilities
PH,Industrials
COIN,Financial Services
CTAS,Industrials
CI,Healthcare
MCO,Financial Services
MDLZ,Consumer Defensive
SHW,Basic Materials
CVS,Healthcare
ELV,Healthcare
UPS,Industrials
TDG,Industrials
CDNS,Technology
DELL,Technology
RCL,Consumer Cyclical
ABNB,Consumer Cyclical
MMM,Industrials
AJG,Financial Services
APO,Financial Services
COF,Financial Services
FTNT,Technology
SNPS,Technology
GD,Industrials
WMB,Energy
EQIX,Real Estate
ORLY,Consumer Cyclical
AON,Financial Services
RSG,Industrials
ECL,Basic Materials
EMR,Industrials
MAR,Consumer Cyclical
CMG,Consumer Cyclical
PNC,Financial Services
HWM,Industrials
ITW,Industrials
CL,Consumer Defensive
USB,Financial Services
NOC,Industrials
PYPL,Financial Services
MSI,Technology
ZTS,Healthcare
JCI,Industrials
VST,Utilities
EOG,Energy
ADSK,Technology
BK,Financial Services
KMI,Energy
AXON,Industrials
WDAY,Technology
APD,Basic Materials
FCX,Basic Materials
CARR,Industrials
NEM,Basic Materials
HLT,Consumer Cyclical
CHTR,Communication Services
CSX,Industrials
ROP,Technology
SPG,Real Estate
AZO,Consumer Cyclical
MNST,Consumer Defensive
TRV,Financial Services
DLR,Real Estate
COR,Healthcare
NSC,Industrials
AFL,Financial Services
PWR,Industrials
TFC,Financial Services
REGN,Healthcare
AEP,Utilities
NXPI,Technology
FDX,Industrials
MET,Financial Services
O,Real Estate
ALL,Financial Services
PAYX,Technology
PSA,Real Estate
OKE,Energy
NDAQ,Financial Services
MPC,Energy
CTVA,Basic Materials
AMP,Financial Services
PCAR,Industrials
TEL,Technology
GWW,Industrials
SRE,Utilities
URI,Industrials
BDX,Healthcare
AIG,Financial Services
